l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
43.87312,1.0074911,2.3663313,68.0879,39.080715,-0.3858527,-1.0703351,42.0262,28.651028,1.4246778,0.8155938,62.99078,18.665306,-1.1008246,-1.9583868,31.16398,0.02353825415235123
60.089138,1.1446302,-2.6759853,103.9428,50.73367,-0.50307906,-0.5889223,57.29027,44.214382,0.08676919,1.8912,44.38092,28.649994,0.20684688,0.47860512,29.26509,0.013271493163145591
58.0842,1.268801,0.6346777,111.4564,43.938774,1.0488716,-2.564994,70.40664,36.164467,2.0914004,-1.5920513,148.6316,27.259981,0.03228328,1.9138625,27.27419,0.06345791968545263
50.64966,-0.89819986,2.3860595,72.49185,48.473297,-0.34590915,-0.8956732,51.40232,21.990986,1.1810359,1.4149275,39.19571,18.880121,-1.6768107,-1.4026951,52.25489,0.01798311320811843
50.19029,1.6617105,1.3316451,136.9726,37.51426,-0.06750085,-2.073456,37.59975,32.282455,0.7623947,-1.4500579,42.12781,16.321741,2.3658946,1.4296857,87.70839,0.036708567154439875
93.57024,-0.26579753,-1.734155,96.89502,90.494225,-1.1323993,1.4451283,154.9873,22.933428,-1.9669491,-0.81877506,83.57763,22.610207,-0.5492763,2.1193871,26.10763,0.02534819744843663
66.65095,1.176812,-0.92163765,118.3813,61.545685,0.2970847,1.7642914,64.28171,42.705612,0.94250077,-2.6360266,63.11982,16.07225,-0.7384307,0.9834737,20.65696,0.019727345704517778
38.59977,-0.36967582,0.3643805,41.26748,24.875504,-2.176914,-2.6951554,111.0995,21.495337,-1.5051459,-2.97842,50.80203,7.5967355,2.47808,0.06272679,45.58902,0.05374414765097867
76.68486,0.9821121,2.9496062,116.7377,51.573666,0.024303693,0.7785745,51.5889,50.319946,-0.80642897,-1.0147642,67.58836,14.484067,-0.70248395,-0.5943823,18.2073,0.03215791776020828
62.81222,-0.25528538,1.9042282,64.87012,48.653164,-0.20979878,-2.390821,49.72784,35.704952,0.62491506,-0.15274945,42.90654,29.394934,1.4877214,-0.7826784,68.3856,0.028251701147964624
57.50365,1.1575139,0.40621474,100.5244,46.801678,1.2719452,2.2952156,90.04811,35.44339,1.5706059,-2.441752,88.91826,35.342014,0.1912687,-1.4201633,35.99045,0.02039931625785501
52.183216,-1.0015073,0.47891527,80.61543,47.641262,-0.54975337,-1.6719891,55.0237,44.71364,-0.20742191,1.7479447,45.67897,39.462345,-0.6659912,-2.5904996,48.5423,0.019216817297755536
74.82056,-1.182783,0.67572004,133.5497,65.91666,1.039934,-2.2971904,104.8902,26.458452,-1.6711473,-2.7726302,72.84405,15.688487,-0.7353478,0.8731102,20.12477,0.08342490408791095
45.922195,-2.388925,-2.9682598,252.4228,44.00318,-0.10808255,0.9070469,44.26045,41.06273,-1.8534219,0.0072116186,134.2407,35.45548,-1.2610571,-2.2743342,67.58709,0.043831542623251556
62.561638,1.2217506,1.2910271,115.3585,61.91386,2.2040617,-1.9564284,283.9401,30.741447,1.5500828,-1.8781034,75.68684,30.639597,1.4350393,1.0474817,67.98799,0.09110374276775392
53.29044,-0.5610753,2.8959243,61.90087,44.178787,0.13924345,1.5377944,44.60777,41.963135,-0.93936414,-0.71836877,61.87948,34.892612,-1.632627,-1.0072415,92.68727,0.03573305941498353
66.08874,0.6532158,-0.6272344,80.69701,55.59478,1.0430641,1.3300482,88.68126,45.29406,1.3180245,-2.7916214,90.67185,24.218172,1.8613232,3.128107,79.77115,0.023344964575130984
56.087315,1.0268978,1.5356373,88.35172,47.015156,0.097870305,2.82973,47.24051,44.793476,0.44432232,-0.6853767,49.28831,42.896923,1.3763869,-1.3808901,90.36354,0.009864395361342364
43.0039,-0.60794914,-1.9983681,51.19888,34.83018,-1.763135,1.2012887,104.5288,20.068512,1.3865795,-0.4238253,42.65632,19.805017,-1.5596982,2.2895086,49.19155,0.03360491659476501
84.47463,-2.1255052,-1.2279127,358.8694,82.10703,-1.09711,1.8171293,136.6807,36.216644,-1.7020497,-3.0609932,102.6287,27.86564,0.05097915,0.10226383,27.90185,0.02874743628061958
40.482395,0.19583157,-1.9498833,41.26112,37.427624,-1.3137766,1.1989655,74.64939,31.611822,1.6633121,1.7509679,86.39936,29.22441,0.4284918,-1.3272296,31.94859,0.011340090204816411
91.96555,0.29965082,-0.7140482,96.12536,85.717,0.5582487,2.418208,99.42399,29.89975,0.8296606,1.189528,40.79429,29.271505,-0.46541587,-2.1644673,32.49942,0.011585367298485298
50.417095,-0.8072689,-1.2727469,67.75684,38.32268,-0.51798344,1.8867329,43.57979,30.682436,-1.822423,0.81146055,97.39318,26.209942,0.31560305,-2.730015,27.52614,0.02670818703655638
80.25982,0.40045652,-1.568835,86.78173,35.72458,2.101206,1.8595366,148.2273,31.926876,-0.031393718,0.79389876,31.94261,26.332466,0.1563708,2.0597327,26.65506,0.007538588678702154
63.225212,-1.0232936,1.649515,99.31899,40.27659,-0.88491094,-0.7416391,57.10252,28.254427,-0.10308261,-1.9470842,28.40468,17.229507,1.5358212,-2.5544364,41.87129,0.049111516810537575
73.87515,-0.6581695,-0.64733386,90.46206,51.080593,-0.81064004,1.620648,68.80353,45.51032,-0.18684721,-2.529635,46.30706,27.44665,-0.10864656,2.3421416,27.6088,0.02108825906763763
53.39471,1.2223082,0.28905562,98.50162,51.3044,1.917114,-1.4823251,178.24,40.661438,1.3048371,2.8966525,80.47519,30.688164,0.6521327,2.1294012,37.44821,0.018607029351312438
56.55988,0.48624742,2.8741858,63.37907,50.706646,-0.04396992,0.8080681,50.75567,44.24616,-1.2964597,-0.73338383,86.93988,25.723698,-1.2426832,-2.1166503,48.27703,0.019298871839150838
112.74472,-0.6656517,0.03351792,138.6589,110.22096,-1.0754718,2.9767764,180.3497,37.633442,-0.4824117,-1.9110203,42.09807,16.104979,-2.3980315,1.0071743,89.32139,0.012561228744400904
77.75182,0.36215186,-1.7842857,82.90652,70.05085,-1.9409522,0.89299375,248.9939,49.058613,-1.4389356,2.571115,109.2385,14.7362385,-1.6378288,-0.35143977,39.3339,0.050673714579840136
152.40257,-0.24228959,1.2349579,156.8978,90.697586,-0.8502441,-2.0978763,125.5041,69.74865,-1.81219,-1.5546658,219.2598,7.126836,-2.3467417,2.5045578,37.58387,0.04778788026681552
115.218864,-0.5909885,-2.1244082,135.9324,89.23762,0.8049095,1.1500707,119.74,69.01896,-0.20288295,0.644304,70.4443,39.803024,-1.8264327,-2.465639,126.8259,0.015859152224340516
65.67733,-0.72003716,-1.9896082,83.45105,63.189972,0.03941562,1.5665367,63.23906,52.44963,0.018515848,-0.4812478,52.45862,29.100988,1.7558123,2.3309777,86.73425,0.012650261728893017
63.872612,0.89115334,0.99408275,90.9585,32.22704,-1.02759,-2.4747205,50.79291,26.993042,-0.029369874,-2.468162,27.00469,20.391026,1.5068133,-0.965961,48.26498,0.016604598072531278
59.412136,0.25542656,2.2039423,61.3608,58.765305,1.2411071,-1.1799169,110.141,56.474197,0.92875415,0.55851626,82.63303,42.259426,-0.8149842,-2.552185,57.08797,0.014597098417049854
53.319603,1.4203138,-2.072506,116.7715,48.719482,1.3239151,2.0622716,98.02841,46.412285,1.2796346,-0.76429397,89.88818,38.97155,1.3673792,1.1720538,81.44711,0.010398523312335014
50.43084,0.8639522,-2.4378796,70.45218,47.99299,0.79473776,0.48145342,63.9641,32.72239,-0.4726366,2.9923158,36.44578,28.809761,-0.45405734,0.19353124,31.83096,0.015115970343141839
