l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
113.70391,0.19880694,0.0003899536,115.9584,89.80508,-0.62510675,3.0804925,107.93,27.897457,0.98503363,3.0925977,42.56215,7.8710265,-2.0771399,-1.0673215,31.9048,0.011658558243307832
55.670204,-1.2866803,-3.1080892,108.4715,49.124485,-2.1763222,1.8139428,219.2743,42.281647,-1.1195873,-0.81521183,71.66749,41.30788,-1.2574216,-0.3726385,78.50005,0.010237459717507655
68.05818,1.0219352,2.093576,106.7991,66.2981,-2.0067775,-1.304209,251.0619,30.34849,1.4242203,-0.4801902,66.69556,21.66732,-0.5877989,2.071494,25.51945,0.058972665230126085
46.984844,1.6554778,-0.31168348,127.4836,37.97561,-1.2673564,3.065941,72.78076,25.733139,-0.17035197,1.4602666,26.10743,17.058918,1.3479984,-2.1750894,35.05157,0.07501251824218252
50.389267,-0.883682,0.668011,71.37769,49.149227,-1.0596285,-1.6641108,79.42228,34.37655,0.048188776,2.0719686,34.41648,22.254469,0.79387224,-2.549189,29.64335,0.019470789147553687
80.3924,-0.71030825,1.0310874,101.5401,55.221577,-1.1604526,-1.8051372,96.76812,30.900187,-0.109870836,3.1354294,31.08688,15.630348,1.2685905,-1.4160184,29.98733,0.014452687922795311
60.41365,1.2827535,1.5148304,117.3181,50.36909,0.84865874,-1.2112293,69.62266,33.91389,1.1210425,-1.4630375,57.55172,32.1669,-0.6179991,2.448742,38.50754,0.0089322361934966
92.415054,0.1106962,-0.704278,92.98185,74.722916,-1.4536972,2.9185085,168.5977,54.245075,-1.2382891,1.2530758,101.4271,16.672342,-1.3783859,-2.6257157,35.18261,0.015740834015026677
54.991333,1.1149107,1.9559355,92.85948,51.345383,-0.056534052,-2.2538052,51.42745,40.572903,0.22130087,0.5285556,41.57048,36.377853,2.0234025,-1.0522666,139.9861,0.011809732558576872
75.34451,2.3046482,2.5529375,381.26,56.95225,0.22722067,-0.26378262,58.42879,49.51641,0.65932643,-2.0574684,60.67466,35.109596,1.8765178,0.49836862,117.3336,0.042736366149284694
67.32222,0.3600113,-0.6007613,71.73229,61.669353,-0.8677551,2.0913134,86.38186,32.3183,-0.37276083,-1.5396163,34.58974,30.878529,0.20595552,2.564158,31.53574,0.03265146734856253
71.97818,-1.6946937,2.3387113,202.5694,65.0759,-0.81712294,-0.90464187,88.03719,28.043352,-1.9044377,-0.85858583,96.25231,22.31138,0.45810375,1.9637119,24.69374,0.04188165585722791
89.84777,0.024205271,-2.205942,89.87409,65.242775,1.5224317,0.45983478,156.6328,56.52675,1.0996768,2.0416377,94.29154,21.647587,-1.1427108,-0.3294998,37.38765,0.019789246847961805
46.66895,-0.9971086,2.4652157,71.85567,42.603428,-0.49705476,-0.56103945,47.97556,35.821877,0.7801645,-1.0831423,47.28777,30.017574,-0.55283564,2.1512752,34.7227,0.014076342004301348
72.17217,1.8356091,1.9693913,231.9782,51.990166,0.3658976,-0.86779594,55.50941,29.069317,2.0051293,-1.2893988,109.9067,13.715108,-1.922373,3.0631192,47.88921,0.03353398932228309
63.601086,-0.47741154,-2.1340897,70.98784,59.33525,-0.3412844,1.765577,62.82446,45.17554,-0.25593308,-0.57030374,46.66318,21.286303,-1.7837045,1.2147509,65.1348,0.017305542457995163
