l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
75.60945,-0.6057026,2.1628346,89.90834,60.609512,-0.5800108,-0.09943114,71.09344,34.49827,-1.0565372,-1.9908177,55.61209,25.547653,1.0258667,-1.7299293,40.21197,0.023110084762085904
42.084114,-0.76146364,-0.3885296,54.88591,38.214638,-1.2798233,2.5071716,74.02349,26.248352,0.9205147,-2.8967443,38.17686,17.300076,-1.8992578,-0.019929623,59.08506,0.02232888698486549
55.611984,-0.5568451,2.9903042,64.45908,43.07325,0.33083597,-1.2474167,45.45206,42.94406,-2.0714793,0.9942607,173.1195,18.227169,0.5259706,-0.19563621,20.80706,0.019364881784925507
56.84347,-0.28757188,0.5424677,59.21012,54.554012,1.8931847,-1.9554532,185.2402,37.65946,0.90595025,2.2487485,54.20024,9.319173,2.028927,-2.086038,36.05307,0.017166637447530376
43.950897,-1.9183753,0.8724615,152.8773,41.947517,-0.41526616,-0.7891477,45.61664,38.327515,-0.13041122,-2.4770613,38.65389,33.965656,1.7926785,2.521204,104.8185,0.01635981917947104
132.67789,-0.020577492,2.6906974,132.706,71.31451,0.7788823,-0.42323834,94.0622,50.22591,-0.5979186,-0.42579415,59.47465,11.638498,-1.4113535,-0.7323555,25.28648,0.04023473175252438
53.28062,0.15133883,-0.5268926,53.89194,48.052803,-0.806721,2.3287868,64.55577,32.058044,0.71572304,-2.169035,40.62562,19.062729,-1.9812891,1.3035032,70.43657,0.013617242547972868
33.35264,1.1064944,1.5148858,55.93998,30.662245,0.8538501,-2.6177688,42.53535,30.169823,-0.91801685,-0.15265568,43.80099,14.326403,-1.6633265,-1.9371518,39.15651,0.023294710015739902
64.75776,-0.7685175,-2.0045202,84.8413,49.785477,-1.5166639,0.88043416,118.8987,39.34174,-0.16714175,2.5309315,39.89255,27.82761,0.49937442,-0.07851493,31.37007,0.02357882103488835
48.26397,-1.079791,2.7500892,79.24293,29.434742,0.27175665,0.048064485,30.52835,28.795746,-1.118261,-0.05939935,48.75663,22.617205,1.3143339,-2.2122679,45.13178,0.0288080893683052
48.14193,2.4840057,0.08694523,290.5992,42.090694,1.3004446,2.029395,82.98894,34.755623,-0.37218046,-2.5766592,37.19068,23.315317,2.0190766,-1.5695703,89.34598,0.03968468298080796
32.543293,2.091811,3.0348246,133.8023,29.046425,-0.59327877,-0.38099176,34.31,20.1901,-0.26788932,-0.119013906,20.91891,17.589233,2.036384,2.5554237,68.53953,0.03135326464836726
54.39114,-1.4953978,1.3515928,127.4186,50.064827,-0.3339843,-0.8832186,52.88313,32.349796,-0.42451435,-2.4635963,35.30876,19.326565,-2.3817534,2.8318682,105.4869,0.03338292355120285
85.165665,-0.013896867,-0.3528145,85.17389,84.72829,-0.3052137,-2.6866126,88.70547,61.43592,0.40827432,0.9119632,66.62775,45.197094,0.80511415,2.7299576,60.65425,0.007312524450517489
107.05494,0.7678254,-2.1873686,140.1936,100.29597,0.3761533,0.62773293,107.4755,26.440023,0.3049909,2.7889357,27.6793,20.084679,0.38241252,1.291296,21.57125,0.05185113885521366
70.12364,0.47190925,-1.5765148,78.07784,65.75309,1.2220601,2.2307806,121.2748,24.624397,1.9571698,0.315653,88.90049,20.260006,-0.28264916,0.54672885,21.0747,0.02043062996627419
73.49025,-1.5532905,-0.3620825,181.4676,66.46908,-0.45337752,2.3306785,73.4183,40.80712,0.8952387,-2.6465106,58.28135,13.259962,0.5792328,-0.21006955,15.54728,0.0025803924601779608
107.24217,-1.7048079,0.9803553,304.6823,91.90701,-1.7521161,-2.2089405,272.973,30.331032,-1.5715625,-1.2647789,76.15949,19.623968,-0.30906957,2.3719215,20.56873,0.05998075264107871
84.01783,1.1629832,0.7586079,147.536,33.720757,1.5845567,-2.0281513,85.68727,29.147097,-0.7205987,-2.5086808,37.04777,24.825989,0.9064441,-2.7137103,35.74275,0.010906217288703864
51.29685,-0.3229507,3.1239245,53.99523,47.761105,0.32251456,2.0333948,50.26665,46.30276,-0.43547446,-0.43823117,50.76297,38.94865,0.39707246,-0.66388565,42.05965,0.01665068114781466
166.59628,-0.8307494,-1.5953428,227.4673,123.18785,-0.68687105,1.2009736,153.408,52.452927,-0.35495436,2.253213,55.79211,13.217282,-1.1194516,2.1610937,22.40086,0.01205411569535119
69.02508,-2.287974,0.6973495,343.6215,68.62187,-0.2459682,-2.7360303,70.70818,62.13454,0.22728418,-1.216264,63.74634,42.578682,-1.0776619,1.8424709,69.79057,0.04672432578466762
49.76062,-1.5316167,1.9900397,120.4663,42.192513,-1.6544487,-0.87468475,114.3711,28.537548,0.70964694,-2.7079577,36.02995,19.127558,-1.9167374,-0.056727305,66.42836,0.014366038545586372
45.74192,1.2555208,-3.0653079,86.78599,39.753155,0.5720289,0.049179345,46.4364,24.140839,2.0803108,-1.0655638,98.15483,23.382324,-0.46778703,1.8206087,25.98764,0.03730612583398934
47.69909,2.3763654,2.476954,258.9725,39.81635,1.6651113,-0.616791,109.0059,38.019146,0.19153799,-1.6160233,38.71869,32.31169,1.7127522,1.3592354,92.48523,0.0754101595173581
61.34321,0.84105664,-1.6229465,84.34907,49.07612,0.44954327,1.8610363,54.11906,16.714266,-0.8545797,1.1513218,23.19814,10.485513,-2.2659605,-0.098283835,51.08599,0.025434679510132983
117.7301,0.6928414,-0.13567455,147.1356,114.64693,-0.124550246,3.0216978,115.5373,22.580383,0.1567467,2.2182226,22.85835,19.135183,0.46775374,-0.97141594,21.26696,0.024281453331019397
48.433353,1.3686138,1.6596798,101.3313,41.304222,0.5136284,-2.2805958,46.87338,35.296246,-1.1255713,-0.87141687,60.11734,13.195037,-1.2987216,0.87136453,25.97765,0.04313563664770821
56.370266,0.7357655,-0.35455278,72.32919,54.484818,0.6261956,1.3735901,65.5208,38.053722,-0.033612404,-2.3866343,38.07522,36.66033,0.9060889,-2.9276912,52.76754,0.018754686358465757
67.254265,0.4995475,2.7058148,75.8218,59.718044,0.43610296,-0.13648365,65.48738,31.523079,0.05299083,-0.92015857,31.56735,17.94634,-1.3884344,2.869733,38.20808,0.04082513378281398
