l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
54.928127,0.12790942,2.3862424,55.37808,32.617302,1.3197083,-0.7376191,65.39023,31.657358,-1.0890533,-0.47636497,52.36118,12.341389,-1.5976423,-3.0439556,31.74045,0.02331512708643228
79.342964,1.2543913,2.1912603,150.3927,71.70462,0.20782584,-0.2438385,73.25872,28.563131,1.3201545,-2.4252868,57.28471,28.551788,0.87817174,-1.6377116,40.28711,0.03320062040995119
56.339985,0.058298882,2.1171536,56.43576,51.814236,1.092002,-0.7200705,85.90226,44.006424,1.4085884,3.0847394,95.37657,38.01035,-0.23777655,-0.44816822,39.08993,0.014964538339106177
50.38043,-1.0593573,-1.1448163,81.3945,41.607407,0.040330827,1.6101936,41.64125,34.99677,-1.9641006,2.3343244,127.1919,21.571007,-1.9470526,-1.3359091,77.12385,0.050217885879714
44.001034,1.4561237,2.908393,99.49599,41.274467,-0.014710809,-0.5205777,41.27893,29.863796,0.33008385,0.4981528,31.50554,19.624352,2.16835,-2.9411035,86.91831,0.045872827217588764
44.873528,-0.36070442,-0.11018,47.82451,41.179333,0.17858653,-1.3641666,41.83775,38.37213,-0.7452724,2.4812665,49.53114,31.435947,1.6909393,2.3796537,88.16086,0.015062696085759482
129.25313,0.48380098,-3.0291166,144.6772,104.25046,-0.6072901,-0.3102144,124.0724,46.52059,-1.7642901,0.11462156,139.7649,44.414772,0.5822846,1.9648733,52.15947,0.041964493547295575
65.2903,-1.0322739,-2.787942,103.2774,59.03931,-1.1953954,1.6579771,106.4906,38.594658,-0.70303464,-0.6016594,48.53189,37.43604,-0.32531163,-0.3936322,39.43446,0.006107449727776666
34.79633,0.5860901,2.2885873,40.94567,34.209446,-0.39961764,-2.12378,36.97752,29.308174,-1.6084844,0.5003816,76.13422,18.808348,2.1981926,-0.6352643,85.76343,0.0075127367359287284
82.125145,0.13927567,-0.23935492,82.92296,67.71151,1.8190206,2.7234347,214.2392,46.224644,1.1164035,-1.9544559,78.14985,34.843143,0.6223339,1.5881274,41.81111,0.05144178217981044
58.42447,-0.14461054,1.791584,59.03643,48.49586,-0.081157364,-0.23888555,48.65565,44.176624,0.48496297,-1.6402727,49.47418,31.2912,2.260439,-3.0948825,151.6309,0.030489393534043098
73.55565,-1.3446207,-0.3982857,150.6923,65.83856,-1.8185296,2.982793,208.2163,26.97016,-1.8722398,1.7971026,89.76511,8.793951,0.79318434,-1.1905985,11.70838,0.01926987641583076
60.105278,-0.18054128,-3.0594184,61.08752,45.48627,-0.3030395,-0.94373053,47.59087,30.578463,2.3442314,1.0961587,160.8607,24.131054,-0.045533042,0.6481333,24.15607,0.013163296962010516
72.63699,-0.3483844,-0.9585818,77.08979,54.996593,0.7522543,1.0209395,71.3053,48.481865,0.6388486,3.0401776,58.71635,23.526777,0.62720054,2.8105884,28.30796,0.023423969135236727
79.02883,-1.3978783,-1.1754742,169.6641,51.208485,-2.1523995,1.5159345,223.3122,43.92289,-0.85099804,3.0434675,60.81062,20.39168,-0.15311901,1.0316496,20.6312,0.0175190309900268
73.55483,-0.37874275,-0.5925307,78.89377,36.986717,-0.039233398,-3.069947,37.01519,32.088314,-0.94548744,1.5993403,47.53174,25.968222,-2.3457365,2.6763654,136.8102,0.021938296935515453
93.52259,1.7633165,0.65792143,280.7184,78.11288,-0.540952,-1.918166,89.82337,48.163124,0.48279366,-2.7619119,53.88617,34.21597,0.5520606,1.649098,39.56376,0.0031004647129349782
97.842575,-0.41371685,0.40120932,106.3361,91.33045,-0.15658574,-2.9227276,92.45242,12.845763,1.6154015,-0.93942344,33.58344,11.682934,1.2305688,-2.3859718,21.70282,0.040108548041222616
103.54974,0.8508003,-0.37366164,143.3435,91.19204,2.0112066,2.4319093,346.8104,33.770424,1.6121734,-2.0221634,88.02514,15.2665825,1.8944873,2.5299203,51.90283,0.021301402835084998
48.393562,-1.2757298,1.6932584,93.41267,42.179955,-0.8061357,-1.2776343,56.64386,40.35418,-0.56405956,3.1381547,46.94581,34.95528,0.6619401,-0.2247298,42.89711,0.004516325974754773
81.9514,2.0286877,1.2681488,316.972,46.817535,0.4166236,-1.3896383,50.93983,40.61761,1.9981418,-2.592232,152.538,11.110794,0.048178606,-1.4098507,11.12369,0.015669755589167632
55.041397,0.37677905,-3.045364,58.99474,52.597084,-1.4142069,-0.3705254,114.5654,27.256166,1.6302794,0.5352098,72.24487,20.533556,0.14201081,2.6086295,20.74096,0.043074427514398016
58.331543,0.57271725,2.7505722,68.16242,54.792786,-1.1622843,0.15732187,96.16131,38.48146,-1.3876457,-2.563121,81.87068,33.49194,0.917487,-0.29623702,48.60542,0.0361669634591866
